Lp.,x1(0),x2(0),x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,,x1*,x2*,y*,f_calls,g_calls,H_calls
90,-0.489208,0.0611256,-0.000230626,0.000556766,2.8796e-07,75,75,,-0.00024011,0.000193029,1.06218e-07,23,23,,-0.00024011,0.000193029,1.06218e-07,23,23,0
91,0.345454,0.893275,-0.000235199,0.000567821,2.99506e-07,86,86,,-0.000153678,0.000556833,2.71724e-07,24,24,,-0.000153678,0.000556833,2.71724e-07,24,24,0
92,1.98421,-0.892886,1.7476,-0.87428,0.298639,42,42,,1.74759,-0.874174,0.298639,16,16,,1.74759,-0.874174,0.298639,16,16,0
93,1.10001,-0.699772,1.7475,-0.873263,0.298639,75,75,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
94,1.02634,-1.23975,1.74751,-0.873299,0.298639,64,64,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
95,0.959859,0.659374,0.000275304,-0.000444786,2.26968e-07,42,42,,-7.14726e-05,-0.000263918,9.8732e-08,21,21,,-7.14726e-05,-0.000263918,9.8732e-08,21,21,0
96,1.37123,-1.98153,1.7476,-0.874289,0.298639,77,77,,1.7476,-0.874172,0.298639,21,21,,1.7476,-0.874172,0.298639,21,21,0
97,-0.172117,0.335024,-0.000229981,0.000555222,2.86364e-07,79,79,,-0.000147473,0.000451971,1.81121e-07,23,23,,-0.000147473,0.000451971,1.81121e-07,23,23,0
98,-1.00898,-1.29096,0.000228045,-0.000550555,2.81569e-07,84,84,,0.000127352,-0.000496549,2.15762e-07,23,23,,0.000127352,-0.000496549,2.15762e-07,23,23,0
99,1.97612,0.267314,1.7475,-0.873258,0.298639,78,78,,1.74751,-0.873282,0.298639,24,24,,1.74751,-0.873282,0.298639,24,24,0
100,1.15829,-0.314667,1.7475,-0.873278,0.298639,79,79,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
1,-1.95957,-1.84793,0.000169073,-0.000408179,1.54769e-07,15,15,,7.09278e-06,-0.000282857,7.81024e-08,10,10,,7.09278e-06,-0.000282857,7.81024e-08,10,10,0
2,-1.64141,1.92977,-0.000227086,0.000548234,2.792e-07,17,17,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
3,-0.0953785,0.911421,-0.000176641,0.000426449,1.68934e-07,16,16,,-0.00011774,0.000471137,1.94224e-07,9,9,,-0.00011774,0.000471137,1.94224e-07,9,9,0
4,0.429889,-1.37297,0.000191593,-0.000462546,1.98744e-07,17,17,,4.40473e-05,-0.000236056,4.92052e-08,10,10,,4.40473e-05,-0.000236056,4.92052e-08,10,10,0
5,-0.768318,-1.97333,0.000153206,-0.000369871,1.27082e-07,17,17,,8.11663e-05,-0.000397813,1.39142e-07,9,9,,8.11663e-05,-0.000397813,1.39142e-07,9,9,0
6,0.325251,-0.845,0.000187047,-0.000451572,1.89425e-07,16,16,,0.000163486,-0.000493625,2.16421e-07,9,9,,0.000163486,-0.000493625,2.16421e-07,9,9,0
7,-1.381,-1.24994,-0.000168532,0.000406872,1.5378e-07,23,23,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
8,1.8502,1.90048,0.00015812,-0.000381736,1.35366e-07,13,13,,9.8256e-05,-0.00050402,2.23822e-07,9,9,,9.8256e-05,-0.00050402,2.23822e-07,9,9,0
9,0.380927,0.162007,0.000213151,-0.000514595,2.45988e-07,9,9,,8.31788e-05,-0.00024365,5.29361e-08,7,7,,8.31788e-05,-0.00024365,5.29361e-08,7,7,0
10,1.90078,1.08148,0.000163334,-0.000394323,1.4444e-07,16,16,,-6.88909e-05,0.000237459,4.952e-08,12,12,,-6.88909e-05,0.000237459,4.952e-08,12,12,0
11,-1.67969,1.39251,-0.000167562,0.000404531,1.52016e-07,20,20,,nan,nan,nan,10001,10001,,nan,nan,nan,10001,10001,0
12,0.278176,-1.51849,0.00019501,-0.000470795,2.05896e-07,17,17,,3.50135e-05,-0.000209379,3.89602e-08,10,10,,3.50135e-05,-0.000209379,3.89602e-08,10,10,0
13,-0.0865147,1.5161,-0.000181838,0.000438996,1.79021e-07,17,17,,-4.1326e-05,0.000234997,4.89276e-08,10,10,,-4.1326e-05,0.000234997,4.89276e-08,10,10,0
14,0.656075,1.21715,-0.000230704,0.000556968,2.88167e-07,15,15,,-6.29423e-05,0.000360565,1.15236e-07,9,9,,-6.29423e-05,0.000360565,1.15236e-07,9,9,0
