Lp.,x1,x2,x1*,x2*,y*,f_calls,,x1*,x2*,y*,f_calls
24,-0.341418,-0.800608,0.774755,3.61829e-06,0.619837,289,,2.12497e-05,-2.98284e-05,4.27099e-08,265
25,0.422582,-0.969864,-1.97377e-05,2.397e-05,3.07005e-08,257,,1.62347e-05,4.98661e-05,8.7573e-08,171
26,0.551107,0.718966,-2.87157e-05,5.12394e-05,1.09859e-07,289,,9.00404e-06,-4.25244e-05,6.01632e-08,149
27,0.871801,-0.942375,-2.8743e-05,3.05512e-05,5.60279e-08,273,,1.04331e-05,5.49756e-05,9.97043e-08,269
28,0.745651,-0.967503,2.93216e-06,3.26074e-05,3.41302e-08,305,,-5.32046e-07,-4.01091e-05,5.12352e-08,135
29,0.514608,-0.260293,0.77467,-1.70968e-05,0.619837,673,,5.00532e-05,-3.52743e-05,1.19397e-07,221
30,-0.871358,0.670887,4.3371e-05,0.77472,0.619837,257,,2.27982e-05,0.774752,0.619837,123
31,-0.906359,-0.703311,1.06136e-05,-0.774743,0.619837,241,,1.91515e-05,-5.39391e-05,1.04323e-07,219
32,0.454324,0.0662895,0.774697,-9.35735e-06,0.619837,273,,1.73652e-06,-1.88323e-06,2.08953e-10,143
33,-0.821062,-0.871209,-2.59617e-05,-2.14902e-05,3.61679e-08,257,,-1.96524e-05,-1.20139e-05,1.68941e-08,199
34,-0.500614,0.969883,4.86446e-05,-4.29624e-06,7.59365e-08,305,,-9.72928e-06,6.89855e-06,4.52956e-09,235
35,0.747342,-0.0509796,-1.68614e-05,2.77479e-05,3.357e-08,289,,0.774668,-2.37631e-05,0.619837,161
36,-0.399382,-0.150996,0.774749,-5.60109e-06,0.619837,273,,4.38928e-05,2.88079e-05,8.77731e-08,247
37,-0.103487,-0.543974,2.4653e-05,-2.56451e-06,1.95623e-08,209,,2.14396e-05,-2.91166e-05,4.16319e-08,237
38,-0.200269,0.396296,0.774752,2.27259e-07,0.619837,257,,7.60043e-06,1.28513e-05,7.09845e-09,175
39,0.832069,-0.782185,1.90057e-05,3.42529e-05,4.88616e-08,289,,-2.533e-05,3.48201e-05,5.90375e-08,229
