Długość kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientów sprzężonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,Minimum globalne [TAK/NIE],x1*,x2*,y*,f_calls,g_calls,H_calls,Minimum globalne [TAK/NIE]
,9,"-0,377476","-0,60505","2,06E-04","-4,97E-04","2,29E-07",14,14,TAK,"1,11E-04","-3,22E-04","9,27E-08",9,9,TAK,"-1,15E-04","-2,78E-04","1,36E-07",28,28,27,TAK
,10,"0,0857706","0,248496","-1,76E-04","4,25E-04","1,67E-07",13,13,TAK,"-1,20E-04","4,36E-04","1,67E-07",8,8,TAK,"8,49E-05","2,50E-04","9,81E-08",25,25,24,TAK
,11,"-1,55236","-0,839466","-1,69E+00","7,65E-01","3,24E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",30,30,29,NIE
,12,"-0,961683","0,00796753","-1,61E-04","3,87E-04","1,39E-07",17,17,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",26,26,25,NIE
,13,"-1,83111","1,00019","-1,71E+00","7,77E-01","3,13E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,74E-01","2,99E-01",26,26,25,NIE
,14,"-0,84138","-0,293224","-1,55E-04","3,75E-04","1,31E-07",15,15,TAK,"1,56E-04","-1,71E-04","5,13E-08",9,9,TAK,"-1,07E+00","5,35E-01","8,77E-01",28,28,27,NIE
,15,"1,22059","-0,564813","1,89E+00","-8,45E-01","4,65E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"1,07E+00","-5,35E-01","8,77E-01",24,24,23,NIE
,16,"0,66286","-1,29311","2,36E-04","-5,70E-04","3,02E-07",17,17,TAK,"-1,47E-04","2,01E-04","5,40E-08",9,9,TAK,"1,07E+00","-5,36E-01","8,77E-01",28,28,27,NIE
,17,"1,89073","-1,85677","1,75E-04","-4,22E-04","1,66E-07",20,20,TAK,nan,nan,nan,10001,10001,NIE,"1,75E+00","-8,74E-01","2,99E-01",29,29,28,NIE
,18,"-1,1922","-0,186912","-1,28E+00","8,78E-01","8,38E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",27,27,26,NIE
,19,"-0,437421","0,647705","-1,65E-04","3,99E-04","1,48E-07",16,16,TAK,"-2,14E-04","3,41E-04","1,35E-07",9,9,TAK,"-2,51E-04","5,56E-04","2,95E-07",25,25,24,TAK
,20,"-1,56912","-0,652602","-1,36E+00","8,82E-01","7,43E-01",10001,10001,NIE,nan,nan,nan,10001,10001,NIE,"-1,75E+00","8,73E-01","2,99E-01",29,29,28,NIE
,21,"-1,18532","-0,911714","-1,87E-04","4,51E-04","1,89E-07",17,17,TAK,nan,nan,nan,10001,10001,NIE,"-1,07E+00","5,35E-01","8,77E-01",30,30,29,NIE
